DiaGas; Consumo 
1/1/2024;2708,850238
2/1/2024;3026,596237
3/1/2024;3053,014305
4/1/2024;3106,081911
5/1/2024;3092,863296
6/1/2024;3076,205681
7/1/2024;2994,968296
8/1/2024;3123,080239
9/1/2024;3160,357807
10/1/2024;3122,251768
11/1/2024;3044,31055
12/1/2024;3155,286985
13/1/2024;3066,319314
14/1/2024;2963,652288
15/1/2024;3098,903182
16/1/2024;3107,759164
17/1/2024;2358,796358
18/1/2024;3115,401271
19/1/2024;3186,405346
20/1/2024;3246,492621
21/1/2024;2941,724752
22/1/2024;2658,728879
23/1/2024;1810,102485
24/1/2024;2746,122304
25/1/2024;2938,69206
26/1/2024;2945,990423
27/1/2024;2980,239293
28/1/2024;2935,980521
29/1/2024;2946,011759
30/1/2024;2913,525126
31/1/2024;2621,950596
1/2/2024;3069,54359
2/2/2024;2953,788505
3/2/2024;2939,925043
4/2/2024;2902,177864
5/2/2024;2963,401494
6/2/2024;3062,016615
7/2/2024;3007,512011
8/2/2024;3065,154559
9/2/2024;3017,36776
10/2/2024;2998,588739
11/2/2024;2914,660217
12/2/2024;3044,678541
13/2/2024;2849,455991
14/2/2024;3066,50685
15/2/2024;3029,746653
16/2/2024;2980,337012
17/2/2024;3175,835397
18/2/2024;2952,4408
19/2/2024;3047,524702
20/2/2024;3012,092283
21/2/2024;2979,390197
22/2/2024;3013,601938
23/2/2024;2988,991723
24/2/2024;3085,119428
25/2/2024;2933,626024
26/2/2024;3019,749182
27/2/2024;3014,19059
28/2/2024;3028,028638
29/2/2024;3002,370525
1/3/2024;3081,559463
2/3/2024;3022,97504
3/3/2024;2882,627429
4/3/2024;3024,765421
5/3/2024;2983,269895
6/3/2024;3035,911696
7/3/2024;3002,790168
8/3/2024;3045,988955
9/3/2024;3101,186411
10/3/2024;2993,6937
11/3/2024;2774,367772
12/3/2024;1481,354781
13/3/2024;2170,667109
14/3/2024;2813,386876
15/3/2024;2909,560096
16/3/2024;2955,403978
17/3/2024;2842,998991
18/3/2024;3063,115475
19/3/2024;3010,641167
20/3/2024;2908,922422
21/3/2024;2521,051885
22/3/2024;2974,942735
23/3/2024;3038,236651
24/3/2024;2917,096969
25/3/2024;2988,821094
26/3/2024;3043,626624
27/3/2024;3097,64841
28/3/2024;3055,099344
29/3/2024;3045,719099
30/3/2024;2990,187422
31/3/2024;2973,891145
1/4/2024;2975,723511
2/4/2024;3051,700679
3/4/2024;3076,183352
4/4/2024;2982,018917
5/4/2024;2974,749334
6/4/2024;2845,536024
7/4/2024;2881,534704
8/4/2024;2815,701837
9/4/2024;2818,498113
10/4/2024;2928,527075
11/4/2024;3004,080121
12/4/2024;3025,674886
13/4/2024;3014,540841
14/4/2024;2881,382932
15/4/2024;3021,442152
16/4/2024;3023,772823
17/4/2024;2116,181225
18/4/2024;3002,373142
19/4/2024;3021,994877
20/4/2024;2856,782522
21/4/2024;3186,853623
22/4/2024;3173,669532
23/4/2024;2949,641292
24/4/2024;3004,819112
25/4/2024;2979,37476
26/4/2024;2916,71386
27/4/2024;2667,743696
28/4/2024;2906,914776
29/4/2024;2959,374722
30/4/2024;2900,974016
1/5/2024;2993,575515
2/5/2024;2999,060964
3/5/2024;2988,746535
4/5/2024;2650,018585
5/5/2024;2317,399657
6/5/2024;2405,58718
7/5/2024;2402,043787
8/5/2024;2435,500489
9/5/2024;2495,387048
10/5/2024;2354,200122
11/5/2024;2411,45218
12/5/2024;2392,415194
13/5/2024;2489,77834
14/5/2024;2531,623639
15/5/2024;2472,593243
16/5/2024;2453,414818
17/5/2024;2415,642166
18/5/2024;2380,619274
19/5/2024;2351,218886
20/5/2024;2423,423857
21/5/2024;2425,882903
22/5/2024;2153,487744
23/5/2024;2743,576483
24/5/2024;2820,229246
25/5/2024;2927,105305
26/5/2024;2872,640278
27/5/2024;2949,129807
28/5/2024;2838,639657
29/5/2024;2937,656124
30/5/2024;2942,404533
31/5/2024;2933,348016
1/6/2024;2901,136803
2/6/2024;2755,652692
3/6/2024;2943,700582
4/6/2024;2815,218693
5/6/2024;2878,590986
6/6/2024;2937,552974
7/6/2024;2879,462908
8/6/2024;2936,543729
9/6/2024;2814,992715
10/6/2024;2869,463406
11/6/2024;2840,812401
12/6/2024;2903,114183
13/6/2024;2839,682643
14/6/2024;2781,991981
15/6/2024;2875,868004
16/6/2024;2853,622028
17/6/2024;2884,854367
18/6/2024;2866,324955
19/6/2024;2797,52858
20/6/2024;2795,803635
21/6/2024;2717,412202
22/6/2024;2989,542618
23/6/2024;2942,538896
24/6/2024;2942,949906
25/6/2024;1548,195934
26/6/2024;2239,525751
27/6/2024;2931,982906
28/6/2024;2943,179456
29/6/2024;2948,23541
30/6/2024;2881,511522
1/7/2024;2924,639066
2/7/2024;2927,13331
3/7/2024;2905,766265
4/7/2024;2941,018644
5/7/2024;2858,73847
6/7/2024;2647,295423
7/7/2024;2814,102116
8/7/2024;2855,787508
9/7/2024;2940,332365
10/7/2024;2869,860361
11/7/2024;2983,880448
12/7/2024;2981,643482
13/7/2024;2976,885863
14/7/2024;2949,715821
15/7/2024;2946,093916
16/7/2024;2948,388605
17/7/2024;2743,218227
18/7/2024;2879,315223
