DiaGas;Consumo
1/1/2024;0,036128
2/1/2024;39,590774
3/1/2024;132,262272
4/1/2024;132,59913
5/1/2024;135,275579
6/1/2024;47,644084
7/1/2024;0,072185
8/1/2024;85,554775
9/1/2024;132,133344
10/1/2024;110,14569
11/1/2024;131,592033
12/1/2024;109,419845
13/1/2024;50,782267
14/1/2024;5,721421
15/1/2024;84,843702
16/1/2024;133,018002
17/1/2024;128,949354
18/1/2024;122,385841
19/1/2024;128,079529
20/1/2024;59,100295
21/1/2024;0,290204
22/1/2024;90,96814
23/1/2024;120,748564
24/1/2024;121,846527
25/1/2024;128,798708
26/1/2024;120,169919
27/1/2024;59,450496
28/1/2024;0,072159
29/1/2024;41,603331
30/1/2024;111,682836
31/1/2024;124,435364
1/2/2024;123,127311
2/2/2024;118,734939
3/2/2024;58,915578
4/2/2024;0
5/2/2024;0,072235
6/2/2024;32,470384
7/2/2024;57,359742
8/2/2024;84,396078
9/2/2024;115,634878
10/2/2024;65,670498
11/2/2024;0,072243
12/2/2024;49,777581
13/2/2024;115,25969
14/2/2024;86,550124
15/2/2024;63,250101
16/2/2024;62,299915
17/2/2024;22,462592
18/2/2024;0,07221
19/2/2024;47,143808
20/2/2024;63,251838
21/2/2024;63,152841
22/2/2024;58,396293
23/2/2024;62,44907
24/2/2024;23,087899
25/2/2024;2,91802
26/2/2024;61,826509
27/2/2024;62,484862
28/2/2024;62,911753
29/2/2024;79,010644
1/3/2024;123,468129
2/3/2024;56,212442
3/3/2024;0,036061
4/3/2024;33,872723
5/3/2024;114,011911
6/3/2024;123,4309
7/3/2024;119,431196
8/3/2024;98,913242
9/3/2024;31,615716
10/3/2024;0,108057
11/3/2024;62,74022
12/3/2024;124,675879
13/3/2024;125,663804
14/3/2024;121,311458
15/3/2024;123,087976
16/3/2024;65,626059
17/3/2024;0
18/3/2024;0,035965
19/3/2024;37,106411
20/3/2024;84,53876
21/3/2024;125,363837
22/3/2024;117,999143
23/3/2024;64,072367
24/3/2024;0,071929
25/3/2024;0,75601
26/3/2024;0,647702
27/3/2024;0
28/3/2024;0
29/3/2024;2,666075
30/3/2024;1,872111
31/3/2024;0,036002
1/4/2024;55,44766
2/4/2024;118,144006
3/4/2024;125,912479
4/4/2024;83,201651
5/4/2024;125,923118
