DiaGas;Consumo;;;;;
1/1/2024;200;;;;;
2/1/2024;200;;;;;
3/1/2024;200;;;;;
4/1/2024;200;;;;;
5/1/2024;200;;;;;
6/1/2024;200;;;;;
7/1/2024;200;;;;;
8/1/2024;200;;;;;
9/1/2024;200;;;;;
10/1/2024;200;;;;;
11/1/2024;200;;;;;
12/1/2024;200;;;;;
13/1/2024;200;;;;;
14/1/2024;200;;;;;
15/1/2024;200;;;;;
16/1/2024;200;;;;;
17/1/2024;200;;;;;
18/1/2024;200;;;;;
19/1/2024;200;;;;;
20/1/2024;200;;;;;
21/1/2024;200;;;;;
22/1/2024;200;;;;;
23/1/2024;200;;;;;
24/1/2024;200;;;;;
25/1/2024;200;;;;;
26/1/2024;200;;;;;
27/1/2024;200;;;;;
28/1/2024;200;;;;;
29/1/2024;200;;;;;
30/1/2024;200;;;;;
31/1/2024;200;;;;;
1/2/2024;200;;;;;
2/2/2024;200;;;;;
3/2/2024;200;;;;;
4/2/2024;200;;;;;
5/2/2024;200;;;;;
6/2/2024;200;;;;;
7/2/2024;200;;;;;
8/2/2024;200;;;;;
9/2/2024;200;;;;;
10/2/2024;200;;;;;
11/2/2024;200;;;;;
12/2/2024;200;;;;;
13/2/2024;200;;;;;
14/2/2024;200;;;;;
15/2/2024;200;;;;;
16/2/2024;200;;;;;
17/2/2024;200;;;;;
18/2/2024;200;;;;;
19/2/2024;200;;;;;
20/2/2024;200;;;;;
21/2/2024;200;;;;;
22/2/2024;200;;;;;
23/2/2024;200;;;;;
24/2/2024;200;;;;;
25/2/2024;200;;;;;
26/2/2024;200;;;;;
27/2/2024;200;;;;;
28/2/2024;200;;;;;
29/2/2024;200;;;;;
1/3/2024;200;;;;;
2/3/2024;200;;;;;
3/3/2024;200;;;;;
4/3/2024;200;;;;;
5/3/2024;200;;;;;
6/3/2024;200;;;;;
7/3/2024;200;;;;;
8/3/2024;200;;;;;
9/3/2024;200;;;;;
10/3/2024;200;;;;;
11/3/2024;200;;;;;
12/3/2024;200;;;;;
13/3/2024;200;;;;;
14/3/2024;200;;;;;
15/3/2024;200;;;;;
16/3/2024;200;;;;;
17/3/2024;200;;;;;
18/3/2024;200;;;;;
19/3/2024;200;;;;;
20/3/2024;200;;;;;
21/3/2024;200;;;;;
22/3/2024;200;;;;;
23/3/2024;200;;;;;
24/3/2024;200;;;;;
25/3/2024;200;;;;;
26/3/2024;200;;;;;
27/3/2024;200;;;;;
28/3/2024;200;;;;;
29/3/2024;200;;;;;
30/3/2024;200;;;;;
31/3/2024;200;;;;;
1/4/2024;200;;;;;
2/4/2024;200;;;;;
3/4/2024;200;;;;;
4/4/2024;200;;;;;
5/4/2024;200;;;;;
6/4/2024;200;;;;;
7/4/2024;200;;;;;
8/4/2024;200;;;;;
9/4/2024;200;;;;;
10/4/2024;200;;;;;
11/4/2024;200;;;;;
12/4/2024;200;;;;;
13/4/2024;200;;;;;
14/4/2024;200;;;;;
15/4/2024;200;;;;;
16/4/2024;200;;;;;
17/4/2024;200;;;;;
18/4/2024;200;;;;;
19/4/2024;200;;;;;
20/4/2024;200;;;;;
21/4/2024;200;;;;;
22/4/2024;200;;;;;
23/4/2024;200;;;;;
24/4/2024;200;;;;;
25/4/2024;200;;;;;
26/4/2024;200;;;;;
27/4/2024;200;;;;;
28/4/2024;200;;;;;
29/4/2024;200;;;;;
30/4/2024;200;;;;;
1/5/2024;200;;;;;
2/5/2024;200;;;;;
3/5/2024;200;;;;;
4/5/2024;200;;;;;
5/5/2024;200;;;;;
6/5/2024;200;;;;;
7/5/2024;200;;;;;
8/5/2024;200;;;;;
9/5/2024;200;;;;;
10/5/2024;200;;;;;
11/5/2024;200;;;;;
12/5/2024;200;;;;;
13/5/2024;200;;;;;
14/5/2024;200;;;;;
15/5/2024;200;;;;;
16/5/2024;200;;;;;
17/5/2024;200;;;;;
18/5/2024;200;;;;;
19/5/2024;200;;;;;
20/5/2024;200;;;;;
21/5/2024;200;;;;;
22/5/2024;200;;;;;
23/5/2024;200;;;;;
24/5/2024;200;;;;;
25/5/2024;200;;;;;
26/5/2024;200;;;;;
27/5/2024;200;;;;;
28/5/2024;200;;;;;
29/5/2024;200;;;;;
30/5/2024;200;;;;;
31/5/2024;200;;;;;
1/6/2024;200;;;;;
2/6/2024;200;;;;;
3/6/2024;200;;;;;
4/6/2024;200;;;;;
5/6/2024;200;;;;;
6/6/2024;200;;;;;
7/6/2024;200;;;;;
8/6/2024;200;;;;;
9/6/2024;200;;;;;
10/6/2024;200;;;;;
11/6/2024;200;;;;;
12/6/2024;200;;;;;
13/6/2024;200;;;;;
14/6/2024;200;;;;;
15/6/2024;200;;;;;
16/6/2024;200;;;;;
17/6/2024;200;;;;;
18/6/2024;200;;;;;
19/6/2024;200;;;;;
20/6/2024;200;;;;;
